Описание ноутбука;Цена ноутбука
Ноутбук Intel Pentium/4 ГБ/128 GB/15.6/1366x768/NVIDIA GeForce® MX130/Windows 10 HomeAsus / ; //static.wbstatic.net/i/blank.gif
"Ноутбук AMD Athlon Gold 3150U/4 ГБ/128 Гб/14""/1920 х 1080/AMD Radeon HD/Windos 10 HomeHP / "; //static.wbstatic.net/i/blank.gif
"Ноутбук N5030/4/256 Гб/14""/1920 x 1080/UHD GraphicsHP / "; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Core i5 9300H/12 ГБ/512 Гб/15,6""/1920x1080 FHD/NVIDIA GeForce GTX 1650/WindowsAcer / "; //static.wbstatic.net/i/blank.gif
Ноутбук 8 ГБHP / ; //static.wbstatic.net/i/blank.gif
Ноутбук Intel Core i3/8/17.3''/1600 x 900/UHD Graphics/Windows 10HP / ; //static.wbstatic.net/i/blank.gif
"Ноутбук AMD Ryzen 7 4700U/8 ГБ/256 Гб/15,6""/1920 x 1080/AMD Radeon HD/Windows 10 ДомашняяHP / "; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Core i7/16 ГБ/512 GB/15.6""/1920 x 1080/Windows 10 HomeAsus / "; //static.wbstatic.net/i/blank.gif
НоутбукHP / ; //static.wbstatic.net/i/blank.gif
НоутбукHP / ; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Core i5-8259U/8/512/14""/2160 x 1440/Intel® Iris® Plus 655, до 1,2 МГц/Windows 10/Windos 10 Home/Windows 10 64-bitCHUWI / "; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Core i3 1115G4/8 ГБ/256 Гб/14""/1920 x 1080/Intel UHD Graphics/Windows 10 HomeAsus / "; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Core i7/4 ГБ/512 Гб/15.6 ""/1920 x 1080 (FHD)/GeForce MX330/Windows 10Acer / "; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Core i5 10210U/16 ГБ/512 Гб/16.1""/1920x1080/NVIDIA GeForce MX350/WindowsHonor / "; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Core i5 1135G7/16 ГБ/512 Гб/15""/1920 x 1080/Intel Iris Xe Graphics/Windows 10Honor / "; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Pentium N5030/4 ГБ/256 Гб/15.6""/1920 x 1080/noOSAcer / "; //static.wbstatic.net/i/blank.gif
"Ноутбук AMD Ryzen 5 4500U/8 ГБ/256 Гб/15.6 ""/1920 x 1080/AMD Radeon Graphics/Windows 10Asus / "; //static.wbstatic.net/i/blank.gif
Ноутбук Intel Core i5-1135G7/8 ГБ/256 Гб/14''/1920x1080/Intel Iris Xe Graphics/WindowsAsus / ; //static.wbstatic.net/i/blank.gif
Ноутбук AMD Ryzen 7 4800H/8 ГБ/512 Гб/DOSMSI / ; //static.wbstatic.net/i/blank.gif
Ноутбук Intel Core i5 11400F/8 GB/512 GB/17.3''/1920 x 1080/Windows 10 HomeAsus / ; //static.wbstatic.net/i/blank.gif
